"Date","total_cases","new_cases","total_deaths","new_deaths","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters"
2020-01-22,1664,0,51,0,0,0,0,0
2020-01-23,2591,380,72,4,0,0,0,0
2020-01-24,3715,1124,104,32,0,0,0,0
2020-01-25,5671,1956,168,64,0,0,0,0
2020-01-26,8359,2688,224,56,0,0,0,0
2020-01-27,11577,3218,328,104,0,0,0,0
2020-01-28,22142,10565,524,196,0,0,0,0
2020-01-29,24471,2329,532,8,0,0,0,0
2020-01-30,32713,8242,684,152,0,0,0,0
2020-01-31,39411,6698,852,168,0,0,0,0
2020-02-01,47800,8389,1036,184,0,0,0,0
2020-02-02,66783,18971,1448,412,0,0,0,0
2020-02-03,79147,12364,1704,256,0,0,0,0
2020-02-04,95331,16020,1968,264,0,0,0,0
2020-02-05,110297,14966,2256,288,0,0,0,0
2020-02-06,122928,12631,2536,280,0,0,0,0
2020-02-07,137107,14179,2876,340,0,0,0,0
2020-02-08,147995,10888,3224,348,0,0,0,0
2020-02-09,160094,12099,3624,400,0,0,0,0
2020-02-10,170301,10207,4052,428,0,0,0,0
2020-02-11,178455,8154,4452,400,0,0,0,0
2020-02-12,180001,1546,4472,20,0,0,0,0
2020-02-13,240624,60595,5484,1012,0,0,0,0
2020-02-14,266593,25969,6092,608,0,0,0,0
2020-02-15,275057,8363,6665,573,0,0,0,0
2020-02-16,283592,8517,7081,416,0,0,0,0
2020-02-17,291428,7836,7473,392,0,0,0,0
2020-02-18,298687,7259,8033,560,0,0,0,0
2020-02-19,300446,1759,8493,460,0,0,0,0
2020-02-20,303310,2212,8989,496,0,0,0,0
2020-02-21,305836,2523,9006,17,0,0,0,0
2020-02-22,312918,7082,9835,829,0,0,0,0
2020-02-23,314404,1486,9878,43,0,0,0,0
2020-02-24,316731,2327,10522,644,0,0,0,0
2020-02-25,320193,3462,10845,323,0,0,0,0
2020-02-26,324162,3969,11090,245,0,0,0,0
2020-02-27,329779,5617,11267,177,0,0,0,0
2020-02-28,335537,5758,11503,236,0,0,0,0
2020-02-29,343358,7771,11791,288,0,0,0,0
2020-03-01,353445,9994,12012,221,0,0,0,0
2020-03-02,361648,8203,12387,375,0,0,0,0
2020-03-03,372568,10800,12712,325,0,0,0,0
2020-03-04,382310,9710,13121,409,0,0,0,0
2020-03-05,394345,12035,13538,417,0,0,0,0
2020-03-06,411498,16632,14044,506,0,0,0,0
2020-03-07,429472,17974,14508,464,0,0,0,0
2020-03-08,447045,17507,15613,1105,0,0,0,0
2020-03-09,467435,19276,16489,876,0,0,0,0
2020-03-10,489090,21295,17778,1289,0,0,0,0
2020-03-11,523804,34226,19394,1616,0,0,0,0
2020-03-12,550076,25975,20823,1429,0,0,0,0
2020-03-13,616243,66140,23160,2337,0,0,0,0
2020-03-14,669333,51101,25109,1948,0,0,0,0
2020-03-15,720952,51589,28166,3057,0,0,0,0
2020-03-16,789446,68278,31410,3244,0,0,0,0
2020-03-17,863649,73090,35247,3837,0,0,0,0
2020-03-18,953737,89729,39509,4262,0,0,0,0
2020-03-19,1078386,124208,44763,5254,0,0,0,0
2020-03-20,1218898,139869,51881,7118,0,0,0,0
2020-03-21,1366509,146232,60119,8238,0,0,0,0
2020-03-22,1526041,157209,68118,7999,0,0,0,0
2020-03-23,1718509,192348,77409,9291,0,0,0,0
2020-03-24,1903251,184049,88319,10910,0,0,0,0
2020-03-25,2134195,230333,101624,13305,0,0,0,0
2020-03-26,2416391,281808,115862,14238,0,0,0,0
2020-03-27,2707546,289698,132138,16276,0,0,0,0
2020-03-28,3018695,310092,149909,17771,0,0,0,0
2020-03-29,3272212,252821,166141,16232,0,0,0,0
2020-03-30,3559334,287117,185042,18901,0,0,0,0
2020-03-31,3897071,337340,206715,21673,0,0,0,0
2020-04-01,4258765,361082,234259,27544,0,0,0,0
2020-04-02,4618541,359711,260895,26636,0,0,0,0
2020-04-03,4986793,367668,289028,28133,0,0,0,0
2020-04-04,5229042,241599,315808,26780,0,0,0,0
2020-04-05,5485891,300682,331028,22782,0,0,0,0
2020-04-06,5849186,315066,365739,26630,0,0,0,0
2020-04-07,6142220,292993,402856,37117,0,0,0,0
2020-04-08,6501676,359155,432990,30134,0,0,0,0
2020-04-09,6875913,374237,468045,35055,0,0,0,0
2020-04-10,7240660,364612,500897,32852,0,0,0,0
2020-04-11,7558626,317966,528454,27557,0,0,0,0
2020-04-12,8104381,545755,554622,26168,0,0,0,0
2020-04-13,8404975,300589,581124,26502,0,0,0,0
2020-04-14,8769006,364031,611969,30845,0,0,0,0
2020-04-15,9103498,334037,650146,38177,0,0,0,0
2020-04-16,9518049,414536,682856,32710,0,0,0,0
2020-04-17,9891673,373624,719887,37031,0,0,0,0
2020-04-18,10216510,324837,746671,26784,0,0,0,0
2020-04-19,10542192,325678,769954,23283,0,0,0,0
2020-04-20,10856887,314695,796278,26324,0,0,0,0
2020-04-21,11176203,319316,828290,32012,0,0,0,0
2020-04-22,11520530,344244,858820,30530,0,0,0,0
2020-04-23,11868141,347550,889150,30330,0,0,0,0
2020-04-24,12207126,338974,918979,29829,0,0,0,0
2020-04-25,12551737,344611,944372,25393,0,0,0,0
2020-04-26,12847668,295879,962638,18266,0,0,0,0
2020-04-27,13139897,292229,983972,21334,0,0,0,0
2020-04-28,13453987,314044,1012997,29025,0,0,0,0
2020-04-29,13770317,316080,1042730,29733,0,0,0,0
2020-04-30,14112669,342346,1068397,25667,0,0,0,0
2020-05-01,14475528,362845,1091286,22889,0,0,0,0
2020-05-02,14801362,325834,1116270,24984,0,0,0,0
2020-05-03,15106846,305452,1132454,16184,0,0,0,0
2020-05-04,15421007,314161,1151780,19326,0,0,0,0
2020-05-05,15748603,327596,1177425,25645,0,0,0,0
2020-05-06,16121047,372441,1206709,29284,0,0,0,0
2020-05-07,16484849,363802,1230667,23958,0,0,0,0
2020-05-08,16854904,370055,1255649,24982,0,0,0,0
2020-05-09,17197392,342488,1274746,19097,0,0,0,0
2020-05-10,17504953,307561,1291490,16744,0,0,0,0
2020-05-11,17817185,312232,1307984,16494,0,0,0,0
2020-05-12,18160908,343723,1332544,24560,0,0,0,0
2020-05-13,18505999,345091,1355472,22928,0,0,0,0
2020-05-14,18895177,389178,1378891,23419,0,0,0,0
2020-05-15,19285110,389730,1402243,23352,0,0,0,0
2020-05-16,19666838,381461,1421025,18782,0,0,0,0
2020-05-17,19983983,316862,1436102,15077,0,0,0,0
2020-05-18,20342713,358730,1453235,17133,0,0,0,0
2020-05-19,20734932,392219,1474012,20777,0,0,0,0
2020-05-20,21160410,425478,1496261,22249,0,0,0,0
2020-05-21,21590043,429633,1516645,20384,0,0,0,0
2020-05-22,22025542,435499,1540537,23892,0,0,0,0
2020-05-23,22449732,423711,1558510,17973,0,0,0,0
2020-05-24,22826236,376504,1572637,14127,0,0,0,0
2020-05-25,23179621,353191,1577190,4553,0,0,0,0
2020-05-26,23554966,375345,1596587,19397,0,0,0,0
2020-05-27,23970857,415891,1618535,21948,0,0,0,0
2020-05-28,24461159,490302,1639075,20540,0,0,0,0
2020-05-29,24950241,489082,1660104,21029,0,0,0,0
2020-05-30,25499062,548466,1677591,17487,0,0,0,0
2020-05-31,25915797,416735,1690349,12758,0,0,0,0
2020-06-01,26315523,399726,1705061,14712,0,0,0,0
2020-06-02,26815389,499866,1726607,21546,0,0,0,0
2020-06-03,27261925,446536,1749709,23102,0,0,0,0
2020-06-04,27797112,535187,1771858,22149,0,0,0,0
2020-06-05,28331115,534003,1792689,20831,0,0,0,0
2020-06-06,28857795,526680,1809334,16645,0,0,0,0
2020-06-07,29308507,450712,1821996,12662,0,0,0,0
2020-06-08,29723337,414830,1839618,17622,0,0,0,0
2020-06-09,30223854,500517,1860417,20799,0,0,0,0
2020-06-10,30772617,548763,1882446,22029,0,0,0,0
2020-06-11,31318991,546374,1902946,20500,0,0,0,0
2020-06-12,31833923,514932,1922097,19151,0,0,0,0
2020-06-13,32375905,541982,1939910,17813,0,0,0,0
2020-06-14,32908651,532746,1954690,14780,0,0,0,0
2020-06-15,33400712,492061,1970716,16026,0,0,0,0
2020-06-16,33979846,579134,1999559,28843,0,0,0,0
2020-06-17,34558479,578633,2021783,22224,0,0,0,0
2020-06-18,35138068,579589,2043282,21499,0,0,0,0
2020-06-19,35868204,730136,2069979,26697,0,0,0,0
2020-06-20,36618010,749806,2087982,18003,0,0,0,0
2020-06-21,36994176,376166,2106388,18406,0,0,0,0
2020-06-22,37570304,576128,2121673,15285,0,0,0,0
2020-06-23,38243446,673142,2144302,22629,0,0,0,0
2020-06-24,38933164,689718,2166325,22023,0,0,0,0
2020-06-25,39659302,726138,2186833,20508,0,0,0,0
2020-06-26,40423903,764601,2207347,20514,0,0,0,0
2020-06-27,41135938,712035,2226170,18823,0,0,0,0
2020-06-28,41807951,672013,2240525,14355,0,0,0,0
2020-06-29,42415603,607652,2256733,16208,0,0,0,0
2020-06-30,43147819,732216,2277895,21162,0,0,0,0
2020-07-01,44021783,873964,2299523,21628,0,0,0,0
2020-07-02,44850112,828329,2321587,22064,0,0,0,0
2020-07-03,45668627,818515,2342668,21081,0,0,0,0
2020-07-04,46442452,773825,2361817,19149,0,0,0,0
2020-07-05,47176196,733744,2377055,15238,0,0,0,0
2020-07-06,47851868,675672,2393990,16935,0,0,0,0
2020-07-07,48699320,847452,2419644,25654,0,0,0,0
2020-07-08,49561552,862232,2442316,22672,0,0,0,0
2020-07-09,50466805,905162,2465637,23321,0,0,0,0
2020-07-10,51400046,932626,2488747,23110,0,0,0,0
2020-07-11,52258483,858437,2509221,20474,0,0,0,0
2020-07-12,53034305,775822,2526410,17189,0,0,0,0
2020-07-13,53810285,775980,2544019,17609,0,0,0,0
2020-07-14,54701100,890815,2568074,24055,0,0,0,0
2020-07-15,55630630,929530,2591877,23803,0,0,0,0
2020-07-16,56637010,1006380,2616648,24771,0,0,0,0
2020-07-17,57616086,979076,2644740,28092,0,0,0,0
2020-07-18,58557713,941627,2670792,26052,0,0,0,0
2020-07-19,59417637,859924,2690399,19607,0,0,0,0
2020-07-20,60258747,841110,2706158,15759,0,0,0,0
2020-07-21,61226254,967507,2731690,25532,0,0,0,0
2020-07-22,62345447,1119193,2761275,29585,0,0,0,0
2020-07-23,63473935,1128488,2787949,26674,0,0,0,0
2020-07-24,64614758,1139744,2813880,25931,0,0,0,0
2020-07-25,65629504,1014746,2838227,24347,0,0,0,0
2020-07-26,66483038,853534,2855713,17486,0,0,0,0
2020-07-27,67417607,934569,2876869,21156,0,0,0,0
2020-07-28,68476937,1059330,2904784,27915,0,0,0,0
2020-07-29,69584432,1107432,2931506,26722,0,0,0,0
2020-07-30,70716661,1132229,2958625,27119,0,0,0,0
2020-07-31,71894077,1176880,2985069,26444,0,0,0,0
2020-08-01,72889559,995482,3009159,24090,0,0,0,0
2020-08-02,73811897,922338,3027852,18693,0,0,0,0
2020-08-03,74667081,855184,3047153,19301,0,0,0,0
2020-08-04,75714146,1047065,3075975,28822,0,0,0,0
2020-08-05,76833355,1119209,3105658,29683,0,0,0,0
2020-08-06,77981185,1147830,3133048,27390,0,0,0,0
2020-08-07,79127899,1146714,3160133,27085,0,0,0,0
2020-08-08,80158086,1030187,3184278,24145,0,0,0,0
2020-08-09,81070096,912010,3205026,20748,0,0,0,0
2020-08-10,82000553,930457,3226646,21620,0,0,0,0
