Date,Adj Close,new_cases
2020-12-29,150.3509064,1517506
2020-12-30,152.2139587,1728110
2020-12-31,153.5112457,1765165
2021-01-04,152.6528931,1257834
2021-01-05,154.4476471,1730077
2021-01-06,155.9010468,1783387
2021-01-07,156.4277344,2090477
2021-01-08,156.1058502,1873363
2021-01-11,155.4523315,1402259
2021-01-12,154.2428131,1578673
2021-01-13,154.0087128,1709616
2021-01-14,156.7008667,1703058
2021-01-15,156.3594666,1665119
2021-01-19,158.7785034,1324735
2021-01-20,158.3883514,895212
2021-01-21,157.7543182,1462216
2021-01-22,159.5295868,1487459
2021-01-25,161.8998413,1181753
2021-01-26,166.2892151,1207416
2021-01-27,163.7531586,1378410
2021-01-28,165.0016937,1367348
2021-01-29,159.1199036,1319524
2021-02-01,158.7102356,1060558
2021-02-02,157.2861328,1028251
2021-02-03,156.5545654,1181436
2021-02-04,158.0079346,1036290
2021-02-05,160.4074402,1221952
2021-02-08,160.8658905,776188
2021-02-09,162.182724,866018
2021-02-10,162.7094269,978520
2021-02-11,161.9778595,1114595
2021-02-12,162.4851074,1059293
2021-02-16,161.0122223,1059456
2021-02-17,161.5877228,1191713
2021-02-18,161.6657562,1257805
2021-02-19,158.973587,1272328
2021-02-22,158.8754425,849287
2021-02-23,157.4719086,1188418
2021-02-24,159.5821228,1392992
2021-02-25,159.7489777,1396659
2021-02-26,155.5285187,1379726
2021-03-01,156.3726349,903980
2021-03-02,156.0781708,887141
2021-03-03,153.3299866,1374135
2021-03-04,150.238266,1407693
2021-03-05,153.2121735,1376219
2021-03-08,154.4881287,870245
2021-03-09,154.7825775,1276443
2021-03-10,156.2057648,1472903
2021-03-11,156.1959381,1465606
2021-03-12,156.6474457,1493939
2021-03-15,157.4522552,1018403
2021-03-16,158.3846893,1419991
2021-03-17,157.7957916,1699116
2021-03-18,157.5013428,1648020
2021-03-19,157.0792847,1703453
2021-03-22,157.5307922,1203546
2021-03-23,157.3835602,1517895
2021-03-24,158.9147186,1950302
2021-03-25,158.9736023,1972702
2021-03-26,161.8788147,1893275
2021-03-29,162.9682922,1254529
2021-03-30,161.9573517,1666628
2021-03-31,161.3095703,2058427
2021-04-01,159.817688,2057375
2021-04-05,160.4065857,1238185
2021-04-06,160.3673248,1498068
2021-04-07,160.583252,1746729
2021-04-08,159.9551086,2410198
2021-04-09,158.266922,1896846
2021-04-12,158.6496887,1751762
2021-04-13,156.5296631,2328545
2021-04-14,156.9615021,2433665
2021-04-15,157.422821,2380072
2021-04-16,159.2386017,2486785
2021-04-19,159.6802826,1890766
2021-04-20,163.4001617,2445520
2021-04-21,163.5081177,2486168
2021-04-22,162.1242065,2529818
2021-04-23,162.4579315,2496680
2021-04-26,161.0838165,1768431
2021-04-27,160.1611938,2305437
2021-04-28,158.9833984,2485961
2021-04-29,161.162323,2399096
2021-04-30,159.7195129,2347080
2021-05-03,162.153656,1743031
2021-05-04,164.6662903,2129993
2021-05-05,163.979248,2229462
2021-05-06,164.6368561,2271630
2021-05-07,165.3827972,2162910
2021-05-10,167.1200562,1573000
2021-05-11,165.7557678,1944866
2021-05-12,165.0883331,1984580
2021-05-13,166.8157806,1908055
2021-05-14,167.0709686,1858649
2021-05-17,167.2378235,1369653
2021-05-18,167.2966919,1640534
2021-05-19,166.9335632,1802851
2021-05-20,167.9052429,1632581
2021-05-21,167.7972717,1646260
2021-05-24,168.4392242,1146097
2021-05-25,167.9750519,1390039
2021-05-26,166.9775543,1508174
2021-05-27,166.7207642,1484412
2021-05-28,167.1553192,1339465
2021-06-01,163.4813538,1248324
2021-06-02,164.1430664,1314467
2021-06-03,163.9850311,1319023
2021-06-04,163.9159088,1142887
2021-06-07,162.7998962,863649
2021-06-08,161.3678436,995383
2021-06-09,163.5406036,1139959
2021-06-10,165.0121765,1234981
2021-06-11,162.9184265,1145373
2021-06-14,163.3233337,825828
2021-06-15,162.4542389,1024109
2021-06-16,162.3949585,1045253
2021-06-17,163.1752014,1065563
2021-06-18,159.975296,1091310
2021-06-21,161.8122711,793783
2021-06-22,161.5950012,1112784
2021-06-23,160.6172638,1069504
2021-06-24,161.3480835,1084926
2021-06-25,162.1777039,1122220
2021-06-28,161.9900513,887772
2021-06-29,161.9999237,1017475
2021-06-30,162.7011414,1065759
