,date,vaccine,total_vaccinations
0,2020-12-04,Moderna,1
1,2020-12-07,Pfizer/BioNTech,1
2,2020-12-09,Pfizer/BioNTech,2
3,2020-12-15,Pfizer/BioNTech,3
4,2020-12-16,Pfizer/BioNTech,4
5,2020-12-17,Pfizer/BioNTech,5
6,2020-12-18,Pfizer/BioNTech,10
7,2020-12-20,Moderna,4
8,2020-12-20,Pfizer/BioNTech,10
9,2020-12-21,Johnson&Johnson,1
10,2020-12-21,Moderna,0
11,2020-12-21,Pfizer/BioNTech,14
12,2020-12-22,Johnson&Johnson,1
13,2020-12-22,Moderna,0
14,2020-12-22,Pfizer/BioNTech,21
15,2020-12-23,Johnson&Johnson,1
16,2020-12-23,Moderna,1
17,2020-12-23,Pfizer/BioNTech,451
18,2020-12-24,Johnson&Johnson,1
19,2020-12-24,Moderna,1
20,2020-12-24,Pfizer/BioNTech,1139
21,2020-12-25,Johnson&Johnson,1
22,2020-12-25,Moderna,2
23,2020-12-25,Pfizer/BioNTech,5898
24,2020-12-26,Johnson&Johnson,1
25,2020-12-26,Moderna,2
26,2020-12-26,Pfizer/BioNTech,9498
27,2020-12-27,Johnson&Johnson,1
28,2020-12-27,Moderna,24
29,2020-12-27,Pfizer/BioNTech,78825
30,2020-12-28,Johnson&Johnson,1
31,2020-12-28,Moderna,36
32,2020-12-28,Pfizer/BioNTech,128824
33,2020-12-29,Johnson&Johnson,1
34,2020-12-29,Moderna,48
35,2020-12-29,Pfizer/BioNTech,247480
36,2020-12-30,Johnson&Johnson,1
37,2020-12-30,Moderna,74
38,2020-12-30,Pfizer/BioNTech,404886
39,2020-12-31,Johnson&Johnson,1
40,2020-12-31,Moderna,62
41,2020-12-31,Pfizer/BioNTech,569541
42,2021-01-01,Johnson&Johnson,5
43,2021-01-01,Moderna,217
44,2021-01-01,Pfizer/BioNTech,699373
45,2021-01-02,Johnson&Johnson,4
46,2021-01-02,Moderna,194
47,2021-01-02,Pfizer/BioNTech,851908
48,2021-01-03,Johnson&Johnson,4
49,2021-01-03,Moderna,291
50,2021-01-03,Pfizer/BioNTech,972165
51,2021-01-04,Johnson&Johnson,58
52,2021-01-04,Moderna,398
53,2021-01-04,Pfizer/BioNTech,1249232
54,2021-01-05,Johnson&Johnson,61
55,2021-01-05,Moderna,436
56,2021-01-05,Pfizer/BioNTech,1578827
57,2021-01-06,Johnson&Johnson,65
58,2021-01-06,Moderna,507
59,2021-01-06,Pfizer/BioNTech,1912470
60,2021-01-07,Johnson&Johnson,71
61,2021-01-07,Moderna,542
62,2021-01-07,Pfizer/BioNTech,2326846
63,2021-01-08,Johnson&Johnson,129
64,2021-01-08,Moderna,1598
65,2021-01-08,Pfizer/BioNTech,5311454
66,2021-01-09,Johnson&Johnson,92
67,2021-01-09,Moderna,1355
68,2021-01-09,Pfizer/BioNTech,4367423
69,2021-01-10,Johnson&Johnson,94
70,2021-01-10,Moderna,1372
71,2021-01-10,Pfizer/BioNTech,4584214
72,2021-01-11,Johnson&Johnson,115
73,2021-01-11,Moderna,1854
74,2021-01-11,Pfizer/BioNTech,5033624
75,2021-01-12,Johnson&Johnson,99
76,2021-01-12,Moderna,3838198
77,2021-01-12,Pfizer/BioNTech,11042306
78,2021-01-13,Johnson&Johnson,99
79,2021-01-13,Moderna,4255644
80,2021-01-13,Pfizer/BioNTech,12191647
81,2021-01-14,Johnson&Johnson,99
82,2021-01-14,Moderna,23942
83,2021-01-14,Pfizer/BioNTech,6750269
84,2021-01-15,Johnson&Johnson,126
85,2021-01-15,Moderna,5200608
86,2021-01-15,Pfizer/BioNTech,18667872
87,2021-01-16,Johnson&Johnson,106
88,2021-01-16,Moderna,68473
89,2021-01-16,Pfizer/BioNTech,9072182
90,2021-01-17,Johnson&Johnson,108
91,2021-01-17,Moderna,70001
92,2021-01-17,Pfizer/BioNTech,9279779
93,2021-01-18,Johnson&Johnson,108
94,2021-01-18,Moderna,91571
95,2021-01-18,Pfizer/BioNTech,9806616
96,2021-01-19,Johnson&Johnson,108
97,2021-01-19,Moderna,6948075
98,2021-01-19,Pfizer/BioNTech,19361110
99,2021-01-20,Johnson&Johnson,108
100,2021-01-20,Moderna,7392285
101,2021-01-20,Pfizer/BioNTech,20480850
102,2021-01-21,Johnson&Johnson,108
103,2021-01-21,Moderna,7910099
104,2021-01-21,Pfizer/BioNTech,21732620
105,2021-01-22,Johnson&Johnson,134
106,2021-01-22,Moderna,8720294
107,2021-01-22,Pfizer/BioNTech,28865873
108,2021-01-23,Johnson&Johnson,110
109,2021-01-23,Moderna,9324088
110,2021-01-23,Pfizer/BioNTech,25823208
111,2021-01-24,Johnson&Johnson,110
112,2021-01-24,Moderna,9954417
113,2021-01-24,Pfizer/BioNTech,26747493
114,2021-01-25,Johnson&Johnson,110
115,2021-01-25,Moderna,10372756
116,2021-01-25,Pfizer/BioNTech,27727204
117,2021-01-26,Johnson&Johnson,110
118,2021-01-26,Moderna,10748717
119,2021-01-26,Pfizer/BioNTech,28866631
120,2021-01-27,Johnson&Johnson,114
121,2021-01-27,Moderna,11349095
122,2021-01-27,Pfizer/BioNTech,30103090
123,2021-01-28,Johnson&Johnson,117
124,2021-01-28,Moderna,12114980
125,2021-01-28,Pfizer/BioNTech,31661161
126,2021-01-29,Johnson&Johnson,145
127,2021-01-29,Moderna,13139237
128,2021-01-29,Pfizer/BioNTech,41069207
129,2021-01-30,Johnson&Johnson,122
130,2021-01-30,Moderna,13941511
131,2021-01-30,Pfizer/BioNTech,36291395
132,2021-01-31,Johnson&Johnson,122
133,2021-01-31,Moderna,14690237
134,2021-01-31,Pfizer/BioNTech,37379908
135,2021-02-01,Johnson&Johnson,124
136,2021-02-01,Moderna,15222909
137,2021-02-01,Pfizer/BioNTech,38611763
